ptp_trunk,condition,border_dist,new_pa_status,accuracy_type,new_pa_img_row_number_across_sessions,correct_mean,correct_sd,correct_n,ci_95,y_hat_i_c_ml
5c9a698...,schema_c,4,both,correct_one_square_away,6,1,0,2,0,NA
5c9a698...,schema_c,4,both,correct_one_square_away,7,1,0,2,0,NA
5c9a698...,schema_c,4,both,correct_one_square_away,8,1,0,2,0,NA
5c9a698...,schema_c,4,far_pa,mouse_error,1,154.49201347177302,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,mouse_error,2,141.17332335311264,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,mouse_error,3,10.72530776073582,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,mouse_error,4,220.76621056348841,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,mouse_error,5,NA,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,mouse_error,6,23.811126108659792,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,mouse_error,7,58.292106897610935,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,mouse_error,8,36.21421994966204,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,correct_exact,1,0,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,correct_exact,2,0,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,correct_exact,3,1,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,correct_exact,4,0,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,correct_exact,5,0,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,correct_exact,6,1,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,correct_exact,7,0,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,correct_exact,8,0,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,correct_one_square_away,1,0,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,correct_one_square_away,2,0,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,correct_one_square_away,3,1,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,correct_one_square_away,4,0,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,correct_one_square_away,5,0,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,correct_one_square_away,6,1,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,correct_one_square_away,7,1,NA,1,NA,NA
5c9a698...,schema_c,4,far_pa,correct_one_square_away,8,1,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,mouse_error,1,303.0791669602391,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,mouse_error,2,NA,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,mouse_error,3,24.421690058480802,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,mouse_error,4,32.900135946717604,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,mouse_error,5,5.365999004146385,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,mouse_error,6,2.0264366046091844,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,mouse_error,7,12.398848547849111,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,mouse_error,8,25.265716797916106,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,correct_exact,1,0,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,correct_exact,2,0,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,correct_exact,3,1,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,correct_exact,4,0,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,correct_exact,5,1,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,correct_exact,6,1,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,correct_exact,7,1,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,correct_exact,8,0,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,correct_one_square_away,1,0,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,correct_one_square_away,2,0,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,correct_one_square_away,3,1,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,correct_one_square_away,4,1,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,correct_one_square_away,5,1,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,correct_one_square_away,6,1,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,correct_one_square_away,7,1,NA,1,NA,NA
5c9a698...,schema_c,4,near_pa,correct_one_square_away,8,1,NA,1,NA,NA
5c9a698...,schema_c,all,both,mouse_error,1,217.65776723610222,118.01341128672068,6,94.43039588284046,216.62620367931
5c9a698...,schema_c,all,both,mouse_error,2,133.9430493901824,89.64103998986494,6,71.72777060927969,123.47603070347627
5c9a698...,schema_c,all,both,mouse_error,3,35.16043375824759,20.645333295765898,6,16.519707167144073,70.38082143033924
5c9a698...,schema_c,all,both,mouse_error,4,64.88849960094683,79.53460726514281,6,63.64094019947022,40.11677405718421
5c9a698...,schema_c,all,both,mouse_error,5,17.643629316551632,14.757752564441336,6,11.808661420822858,22.86639354370223
5c9a698...,schema_c,all,both,mouse_error,6,18.2870268808369,11.327011380168125,6,9.063496742755984,13.033748749342168
